cluster,genre,danceability,energy,valence,loudness,track_name,artist_name,popularity
3,Reggae,0.76,0.666,0.86,-7.258,Ever Really Wanted,Slightly Stoopid,31
2,Opera,0.198,0.283,0.0664,-12.662,"Puccini: Madama Butterfly, Act 1: ""Ah! Ah! quanto cielo!...Ancora un passo or via"" (Butterfly, Sharpless, Chorus)",Giacomo Puccini,14
1,Electronic,0.647,0.397,0.179,-13.234,Folha de Jurema,Nicola Cruz,50
4,Electronic,0.669,0.793,0.439,-6.898,Subterranean,Minnesota,35
0,World,0.486,0.611,0.265,-7.847,You Are My King (Amazing Love),"Phillips, Craig & Dean",38
1,Comedy,0.561,0.399,0.662,-14.214,"Dog, Dreams Predict The Future, My Own Culture, Jewish",Eugene Mirman,29
2,Classical,0.173,0.0154,0.0734,-25.193,"Clarinet Concerto in A Major, K.622: Clarinet Concerto in A Major, K.622: II. Adagio",Wolfgang Amadeus Mozart,38
2,Jazz,0.496,0.0156,0.129,-28.544,Take My Hand Precious Lord,Charlie Haden,34
1,Jazz,0.547,0.46,0.543,-8.759,The Thrill Is Gone,B.B. King,54
3,Blues,0.884,0.534,0.849,-9.658,Party On Da Weekend,Kenne' Wayne,20
3,Folk,0.805,0.371,0.808,-10.721,Headlock,Imogen Heap,42
1,Soul,0.582,0.474,0.12,-9.653,Grey,EXES,52
1,Soundtrack,0.459,0.309,0.533,-16.702,She Is Of The Heavens,Dario Marianelli,25
2,Jazz,0.394,0.0755,0.208,-17.782,Ballad,Stan Getz,35
0,Soul,0.623,0.797,0.373,-4.887,As You Are,Rag'n'Bone Man,58
0,Children’s Music,0.578,0.937,0.769,-3.926,I Don't Wanna Stop,Ozzy Osbourne,56
1,Comedy,0.4,0.494,0.736,-13.514,Dry Clean Only,Mitch Hedberg,31
1,Folk,0.723,0.304,0.376,-14.893,Leech Boy,Crywank,40
3,Reggae,0.684,0.879,0.822,-8.708,Lucky,311,30
1,Soul,0.482,0.279,0.101,-15.37,YaYaYa,RY X,59
1,Rock,0.51,0.16,0.383,-21.03,Death with Dignity,Sufjan Stevens,63
0,Reggae,0.585,0.763,0.881,-6.132,Marijuana (feat. Don Carlos),Slightly Stoopid,33
4,Dance,0.52,0.858,0.444,-7.914,Incinerate,Sonic Youth,48
0,Jazz,0.628,0.569,0.485,-9.808,Samba Tranquille,Thievery Corporation,33
2,Opera,0.102,0.02,0.0295,-26.28,"Parsifal, WWV 111: Act I: Prelude",Richard Wagner,9
4,Rock,0.584,0.677,0.113,-4.336,I'm With You - Single Edit,Vance Joy,59
3,Alternative,0.669,0.916,0.862,-4.228,Casual Sex,My Darkest Days,52
0,Anime,0.595,0.902,0.958,-3.656,Fantasy,SEKAI NO OWARI,17
0,Jazz,0.416,0.604,0.711,-9.593,Basie Is Back in Town,Count Basie,37
3,Rap,0.72,0.67,0.566,-10.224,UMI Says,Mos Def,55
4,Alternative,0.562,0.868,0.476,-4.189,Prodigal,Sidewalk Prophets,42
0,World,0.316,0.823,0.28,-4.628,Desperate People,Hillsong UNITED,25
0,R&B,0.211,0.407,0.254,-11.223,somethingfartoogoodtofeel,The Japanese House,52
3,Movie,0.723,0.917,0.855,-3.07,"Bouge (B.O. ""Bouge"")",Generation B.O.,6
3,Reggaeton,0.77,0.759,0.836,-8.032,Son Mis Deseos,Cardenales Del Exito,26
0,Children’s Music,0.549,0.656,0.594,-6.515,GRRRLS,AViVA,66
0,Rap,0.527,0.885,0.498,-4.39,Like Me,Casanova,48
0,Pop,0.718,0.679,0.205,-5.899,Wicked,Future,63
2,Opera,0.273,0.0413,0.0377,-23.291,"Nachtstück, D. 672",Ian Bostridge,8
1,Movie,0.364,0.266,0.253,-12.156,Où est-elle ?,Daniel Lavoie,22
3,Jazz,0.772,0.422,0.878,-13.698,Endless Love,Michelle Simonal,50
4,Movie,0.508,0.587,0.675,-8.576,Avec La Bouche 'Bye Bye Blues' - Remastered,Henri Salvador,3
0,Ska,0.628,0.75,0.795,-7.452,Time To Get Tough,The Aggrolites,34
0,World,0.424,0.456,0.134,-6.356,Thank You Jesus - Alternate Version/Live,Hillsong Worship,29
4,Country,0.66,0.828,0.553,-4.531,Put My Money on That,Curtis Grimes,37
3,R&B,0.701,0.691,0.587,-5.937,The Distance (feat. Ty Dolla $ign),Mariah Carey,58
1,Folk,0.732,0.161,0.5,-12.817,Blue Bayou,Linda Ronstadt,64
4,Pop,0.511,0.8,0.531,-4.759,Forever On Your Side (with JOHNNYSWIM),NEEDTOBREATHE,61
3,Rock,0.62,0.446,0.868,-14.451,I'm on Fire,Bruce Springsteen,72
1,Opera,0.216,0.486,0.189,-8.735,Mattinata spring awaking,Ruggero Leoncavallo,8
2,Opera,0.267,0.347,0.0776,-15.015,Messa da Requiem: II. Dies irae,Giuseppe Verdi,21
4,Electronic,0.721,0.899,0.0385,-4.07,"Beware, the Sirens",Getter,49
3,Pop,0.763,0.441,0.538,-8.211,Dangerous (feat. Jeremih and PnB Rock),Meek Mill,74
3,Reggaeton,0.79,0.725,0.596,-7.805,Dile A Tu Marido,Pasabordo,50
0,Hip-Hop,0.603,0.944,0.674,-4.086,He's A Mental Giant,Tech N9ne,51
4,Comedy,0.577,0.861,0.258,-11.039,Done,Ryan Stout,12
4,Children’s Music,0.317,0.853,0.487,-2.751,You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,Death Grips,49
3,Indie,0.701,0.655,0.784,-6.904,Come Together Now,Matt and Kim,54
2,Jazz,0.392,0.119,0.179,-18.487,Birth,Keith Jarrett,45
3,Blues,0.54,0.772,0.811,-11.172,Bodhisattva,Steely Dan,44
2,Classical,0.52,0.0272,0.545,-26.404,"Unaccompanied Cello Suite No. 4 in E-Flat Major, BWV 1010: V. Bourrées I & II",Johann Sebastian Bach,40
2,World,0.153,0.037,0.101,-28.626,Second Dream,Ryuichi Sakamoto,26
4,Pop,0.605,0.733,0.489,-4.684,Nothing On Us,The Him,69
2,Opera,0.291,0.203,0.0638,-16.514,"La Favorita - Italian version - Act 4: ""Spirto gentil, de'sogni miei""",Gaetano Donizetti,30
0,Soundtrack,0.289,0.577,0.15,-13.378,Killmonger vs T'Challa,Ludwig Goransson,38
4,Children’s Music,0.498,0.913,0.45,-4.805,Graduate,Third Eye Blind,53
0,Alternative,0.436,0.819,0.405,-6.71,Never Meant,American Football,53
3,Children’s Music,0.697,0.808,0.54,-6.803,Children of the Korn,Korn,51
4,Rap,0.609,0.746,0.277,-5.249,Lost In The World,Kanye West,63
2,Classical,0.386,0.184,0.611,-21.549,"Piano Concerto No. 4 in G Major, K. 41: III. Molto allegro",Wolfgang Amadeus Mozart,25
4,Electronic,0.368,0.953,0.237,-1.877,Her - Wooli Remix,Excision,27
3,Movie,0.824,0.782,0.964,-7.899,Hou la menteuse,Dorothée,30
4,R&B,0.617,0.575,0.278,-5.212,Temptation,Destiny's Child,44
0,Ska,0.22,0.966,0.595,-4.005,Born Free,The Bouncing Souls,23
0,Alternative,0.363,0.906,0.371,-4.415,Always,Saliva,59
3,Reggaeton,0.767,0.758,0.84,-8.116,Ella Se Contradice (feat. Plan B),Baby Rasta,57
4,Alternative,0.336,0.951,0.596,-3.587,Help Is On The Way,Rise Against,55
3,Hip-Hop,0.81,0.614,0.431,-7.41,How Long Will They Mourn Me?,Thug Life,51
0,Pop,0.67,0.672,0.643,-3.469,Never Let You Go (feat. Sofia Reyes),Slushii,67
3,Hip-Hop,0.824,0.747,0.498,-4.594,On My Soul,Key Glock,58
3,Ska,0.851,0.587,0.763,-9.391,Mare,Maldita Vecindad Y Los Hijos Del 5to. Patio,34
3,Jazz,0.694,0.598,0.962,-8.177,I Am Your Mind (Part 2),Roy Ayers,40
1,World,0.245,0.467,0.0367,-12.036,Heaven Came For Me,Chris Quilala,27
1,Dance,0.748,0.406,0.386,-7.462,The Wave,R3HAB,58
3,Anime,0.703,0.327,0.848,-9.983,猫のしっぽ犬のしっぽ,ko-ko-ya,22
1,Hip-Hop,0.681,0.57,0.153,-5.829,No Days Off (feat. Monty),Fetty Wap,49
0,Rap,0.708,0.612,0.263,-6.379,Nobody Else But You,Trey Songz,70
2,Opera,0.129,0.0557,0.0389,-25.691,Sonata No. 6 in D Major: II. Andante assai,Gioachino Rossini,10
3,Blues,0.692,0.628,0.774,-6.186,Rocket 69,Todd Rhodes,31
4,Dance,0.388,0.612,0.387,-5.141,U Smile,Justin Bieber,62
2,Opera,0.461,0.107,0.23,-21.525,Giselle: No. 5 - Allegro,Adolphe Adam,12
4,Ska,0.648,0.976,0.328,-7.513,Walking Is Still Honest,Against Me!,25
